"Original In Diesel Report","Canonical Vehicle No","Reason"
"ECEC7620JR015917","ECE07620JR0015917","Looks like typo/variant duplicate; merged for master import"
"MA1FN2XURSC10254","MA1FN2XURS6C10254","Looks like typo/variant duplicate; merged for master import"
"MAIPCAPBDJ6K98790","MA1PCAPBDJ6K98790","Looks like typo/variant duplicate; merged for master import"
"MAT804305ND07858","MAT804305N8D07858","Looks like typo/variant duplicate; merged for master import"
"T02602039DL","T052602039DL","Looks like typo/variant duplicate; merged for master import"
"T0526603265DL","T052603265DL","Looks like typo/variant duplicate; merged for master import"
"TO52602039DL","T052602039DL","Looks like typo/variant duplicate; merged for master import"
"UP71AV4405","UP71AB4405","Looks like typo/variant duplicate; merged for master import"
"UP71CT2446","UP71CT2546","Looks like typo/variant duplicate; merged for master import"
"UP771CT0449","UP71CT0449","Looks like typo/variant duplicate; merged for master import"
